Time [s],Channel 0
8.683287125,1
8.693261000,0
8.693270875,1
8.703244583,0
8.703254458,1
8.713229250,0
8.713239125,1
8.723214167,0
8.723224042,1
8.733197542,0
8.733207417,1
8.743182208,0
8.743192083,1
8.753167167,0
8.753177042,1
8.763151792,0
8.763161667,1
8.773135750,0
8.773145625,1
8.783119750,0
8.783129625,1
8.793103333,0
8.793113167,1
8.803087542,0
8.803097417,1
8.813071125,0
8.813081000,1
8.823056167,0
8.823066042,1
8.833040542,0
8.833050417,1
8.843025125,0
8.843035000,1
8.853009292,0
8.853019167,1
8.862994375,0
8.863004250,1
8.872979792,0
8.872989667,1
8.882965042,0
8.882974917,1
8.892949625,0
8.892959500,1
8.902935458,0
8.902945292,1
8.912921542,0
8.912931417,1
8.922907500,0
8.922917375,1
8.932893500,0
8.932903375,1
8.942879375,0
8.942889250,1
8.952865833,0
8.952875708,1
8.962852083,0
8.962861917,1
8.972837500,0
8.972847375,1
8.982823167,0
8.982833042,1
8.992808625,0
8.992818500,1
9.002793542,0
9.002803417,1
9.012777792,0
9.012787667,1
9.022763250,0
9.022773125,1
9.032747833,0
9.032757708,1
9.042731458,0
9.042741333,1
9.052715917,0
9.052725792,1
9.062701167,0
9.062711042,1
9.072686917,0
9.072696792,1
9.082673000,0
9.082682875,1
9.092658125,0
9.092668000,1
9.102642750,0
9.102652625,1
9.112627292,0
9.112637167,1
9.122611625,0
9.122621500,1
9.132596333,0
9.132606167,1
9.142580500,0
9.142590375,1
9.152565750,0
9.152575625,1
9.162550250,0
9.162560125,1
9.172535125,0
9.172545000,1
9.182519583,0
9.182529458,1
9.192503125,0
9.192513000,1
9.202487542,0
9.202497417,1
9.212472875,0
9.212482750,1
9.222458333,0
9.222468208,1
9.232443208,0
9.232453083,1
9.242427833,0
9.242437708,1
9.252413042,0
9.252422917,1
9.262397375,0
9.262407250,1
9.272381542,0
9.272391417,1
9.282366625,0
9.282376500,1
9.292350917,0
9.292360792,1
9.302335792,0
9.302345667,1
9.312319750,0
9.312329625,1
9.322303375,0
9.322313250,1
9.332286292,0
9.332296167,1
9.342271375,0
9.342281250,1
9.352255125,0
9.352265000,1
9.362238917,0
9.362248792,1
9.372221500,0
9.372231375,1
9.382205542,0
9.382215417,1
9.392189458,0
9.392199333,1
9.402174750,0
9.402184625,1
9.412159208,0
9.412169083,1
9.422144375,0
9.422154250,1
9.432129917,0
9.432139792,1
9.442112792,0
9.442122667,1
9.452097542,0
9.452107417,1
9.462081833,0
9.462091708,1
9.472065708,0
9.472075583,1
9.482049750,0
9.482059625,1
9.492033958,0
9.492043833,1
9.502017667,0
9.502027542,1
9.512002083,0
9.512011958,1
9.521987458,0
9.521997333,1
9.531971875,0
9.531981750,1
9.541957167,0
9.541967042,1
9.551941083,0
9.551950958,1
9.561925042,0
9.561934875,1
10.187370167,0
10.187380167,1
10.197354667,0
10.197364500,1
10.207339083,0
10.207348958,1
10.217322083,0
10.217331958,1
10.227305375,0
10.227315250,1
10.237288875,0
10.237298750,1
10.247272417,0
10.247282292,1
10.257255917,0
10.257265792,1
10.267240292,0
10.267250167,1
10.277223500,0
10.277233375,1
10.287205667,0
10.287215542,1
10.297188792,0
10.297198667,1
10.307172125,0
10.307182000,1
10.317154958,0
10.317164833,1
10.327139542,0
10.327149417,1
10.337122667,0
10.337132542,1
10.347106292,0
10.347116167,1
10.357089833,0
10.357099708,1
10.367073458,0
10.367083333,1
10.377057583,0
10.377067458,1
10.387040583,0
10.387050458,1
10.397022583,0
10.397032417,1
10.407005333,0
10.407015208,1
10.416989167,0
10.416999042,1
10.426972542,0
10.426982417,1
10.436955792,0
10.436965667,1
10.446939208,0
10.446949083,1
10.456922417,0
10.456932292,1
10.466906375,0
10.466916250,1
10.476890208,0
10.476900083,1
10.486873583,0
10.486883458,1
10.496855833,0
10.496865708,1
10.506837667,0
10.506847542,1
10.516820208,0
10.516830083,1
10.526803333,0
10.526813167,1
10.536785500,0
10.536795375,1
10.546767792,0
10.546777667,1
10.556751458,0
10.556761292,1
10.566734917,0
10.566744792,1
10.576719125,0
10.576729000,1
10.586702542,0
10.586712417,1
10.596685417,0
10.596695292,1
10.606668833,0
10.606678708,1
10.616652833,0
10.616662667,1
10.626635792,0
10.626645667,1
10.636620042,0
10.636629917,1
10.646603542,0
10.646613417,1
10.656587167,0
10.656597042,1
10.666570542,0
10.666580417,1
10.676552667,0
10.676562542,1
10.686534542,0
10.686544417,1
10.696517083,0
10.696526958,1
10.706500625,0
10.706510458,1
10.716483042,0
10.716492917,1
10.726466083,0
10.726475958,1
10.736448917,0
10.736458792,1
10.746432417,0
10.746442292,1
10.756415667,0
10.756425542,1
10.766398750,0
10.766408583,1
10.776381000,0
10.776390875,1
10.786364292,0
10.786374167,1
10.796348250,0
10.796358125,1
10.806331500,0
10.806341375,1
10.816314458,0
10.816324333,1
10.826296708,0
10.826306583,1
10.836279000,0
10.836288833,1
10.846261208,0
10.846271042,1
10.856244042,0
10.856253917,1
10.866227542,0
10.866237417,1
10.876210125,0
10.876220000,1
10.886193250,0
10.886203125,1
10.896176083,0
10.896185958,1
10.906160250,0
10.906170125,1
10.916144208,0
10.916154083,1
10.926127458,0
10.926137333,1
10.936111000,0
10.936120875,1
10.946094333,0
10.946104208,1
10.956077625,0
10.956087500,1
10.966060083,0
10.966069958,1
10.976043958,0
10.976053833,1
10.986027458,0
10.986037333,1
10.996011042,0
10.996020875,1
11.005994292,0
11.006004167,1
11.015978167,0
11.015988042,1
11.025962500,0
11.025972375,1
11.035946208,0
11.035956083,1
11.045930375,0
11.045940250,1
11.055913792,0
11.055923667,1
11.065896750,0
11.065906583,1
11.075879750,0
11.075889625,1
11.085863333,0
11.085873208,1
11.095846667,0
11.095856542,1
11.105828833,0
11.105838667,1
11.115811250,0
11.115821125,1
11.125794208,0
11.125804083,1
11.135778417,0
11.135788250,1
11.145761542,0
11.145771417,1
11.155743250,0
11.155753125,1
11.165726458,0
11.165736333,1
11.175709375,0
11.175719250,1
11.861333333,1
